,State,Year,Public Two-Year In-District Tuition and Fees,Public Four-Year In-State Tuition and Fees
0,Alaska,2004-05,,"$4,439 "
1,Alabama,2004-05,"$3,526 ","$5,829 "
2,Arkansas,2004-05,"$2,422 ","$5,921 "
3,Arizona,2004-05,"$1,800 ","$5,271 "
4,California,2004-05,"$1,044 ","$5,422 "
5,Colorado,2004-05,"$2,867 ","$4,825 "
6,Connecticut,2004-05,"$3,110 ","$8,189 "
7,District of Columbia,2004-05,,"$3,257 "
8,Delaware,2004-05,"$3,242 ","$8,568 "
9,Florida,2004-05,"$2,301 ","$3,947 "
10,Georgia,2004-05,"$2,682 ","$4,408 "
11,Hawaii,2004-05,"$1,884 ","$4,376 "
12,Iowa,2004-05,"$3,774 ","$6,988 "
13,Idaho,2004-05,"$2,324 ","$4,641 "
14,Illinois,2004-05,"$2,572 ","$8,393 "
15,Indiana,2004-05,"$3,340 ","$7,557 "
16,Kansas,2004-05,"$2,284 ","$5,482 "
17,Kentucky,2004-05,"$3,580 ","$5,785 "
18,Louisiana,2004-05,"$2,246 ","$4,567 "
19,Massachusetts,2004-05,"$4,344 ","$9,091 "
20,Maryland,2004-05,"$3,849 ","$8,750 "
21,Maine,2004-05,"$3,354 ","$7,239 "
22,Michigan,2004-05,"$2,578 ","$8,135 "
23,Minnesota,2004-05,"$4,905 ","$8,353 "
24,Missouri,2004-05,"$2,781 ","$7,669 "
25,Mississippi,2004-05,"$1,998 ","$5,158 "
26,Montana,2004-05,"$3,058 ","$5,775 "
27,North Carolina,2004-05,"$1,544 ","$4,609 "
28,North Dakota,2004-05,"$3,877 ","$5,953 "
29,Nebraska,2004-05,"$2,279 ","$6,100 "
30,New Hampshire,2004-05,"$6,049 ","$10,449 "
31,New Jersey,2004-05,"$3,621 ","$10,312 "
32,New Mexico,2004-05,"$1,344 ","$5,052 "
33,Nevada,2004-05,"$2,055 ","$3,714 "
34,New York,2004-05,"$4,229 ","$6,395 "
35,Ohio,2004-05,"$4,137 ","$10,645 "
36,Oklahoma,2004-05,"$2,722 ","$4,569 "
37,Oregon,2004-05,"$3,700 ","$6,748 "
38,Pennsylvania,2004-05,"$3,707 ","$10,661 "
39,Puerto Rico,2004-05,,"$1,517 "
40,Rhode Island,2004-05,"$2,986 ","$7,668 "
41,South Carolina,2004-05,"$3,655 ","$8,544 "
42,South Dakota,2004-05,"$3,923 ","$5,619 "
43,Tennessee,2004-05,"$2,839 ","$5,565 "
44,Texas,2004-05,"$1,786 ","$6,559 "
45,Utah,2004-05,"$2,607 ","$4,231 "
46,Virginia,2004-05,"$2,690 ","$7,210 "
47,Vermont,2004-05,"$6,100 ","$11,351 "
48,Washington,2004-05,"$3,208 ","$6,351 "
49,Wisconsin,2004-05,"$3,756 ","$6,744 "
50,West Virginia,2004-05,"$2,690 ","$4,693 "
51,Wyoming,2004-05,"$2,179 ","$4,191 "
52,Alaska,2005-06,,"$4,752 "
53,Alabama,2005-06,"$3,420 ","$5,991 "
54,Arkansas,2005-06,"$2,480 ","$6,239 "
55,Arizona,2005-06,"$1,907 ","$5,555 "
56,California,2005-06,"$1,015 ","$5,670 "
57,Colorado,2005-06,"$2,992 ","$5,546 "
58,Connecticut,2005-06,"$2,177 ","$8,461 "
59,District of Columbia,2005-06,,"$3,157 "
60,Delaware,2005-06,"$3,357 ","$8,832 "
61,Florida,2005-06,"$2,404 ","$4,025 "
62,Georgia,2005-06,"$2,766 ","$4,608 "
63,Hawaii,2005-06,"$1,910 ","$4,373 "
64,Iowa,2005-06,"$3,871 ","$7,039 "
65,Idaho,2005-06,"$2,350 ","$4,913 "
66,Illinois,2005-06,"$2,690 ","$8,661 "
67,Indiana,2005-06,"$3,417 ","$7,711 "
68,Kansas,2005-06,"$2,315 ","$5,887 "
69,Kentucky,2005-06,"$3,768 ","$6,300 "
70,Louisiana,2005-06,"$2,306 ","$4,629 "
71,Massachusetts,2005-06,"$4,382 ","$9,189 "
72,Maryland,2005-06,"$3,875 ","$8,941 "
73,Maine,2005-06,"$3,523 ","$7,598 "
74,Michigan,2005-06,"$2,663 ","$8,891 "
75,Minnesota,2005-06,"$5,027 ","$8,699 "
76,Missouri,2005-06,"$2,855 ","$7,856 "
77,Mississippi,2005-06,"$2,090 ","$5,241 "
78,Montana,2005-06,"$3,094 ","$6,161 "
79,North Carolina,2005-06,"$1,560 ","$4,579 "
80,North Dakota,2005-06,"$4,059 ","$6,356 "
81,Nebraska,2005-06,"$2,338 ","$6,642 "
82,New Hampshire,2005-06,"$6,494 ","$10,754 "
83,New Jersey,2005-06,"$3,692 ","$10,775 "
84,New Mexico,2005-06,"$1,401 ","$5,320 "
85,Nevada,2005-06,"$2,058 ","$3,782 "
86,New York,2005-06,"$4,238 ","$6,271 "
87,Ohio,2005-06,"$4,236 ","$10,448 "
88,Oklahoma,2005-06,"$2,802 ","$4,758 "
89,Oregon,2005-06,"$3,716 ","$6,802 "
90,Pennsylvania,2005-06,"$3,823 ","$10,827 "
91,Puerto Rico,2005-06,,"$1,768 "
92,Rhode Island,2005-06,"$3,094 ","$8,066 "
93,South Carolina,2005-06,"$3,684 ","$9,252 "
94,South Dakota,2005-06,"$4,004 ","$5,754 "
95,Tennessee,2005-06,"$2,994 ","$5,967 "
96,Texas,2005-06,"$1,840 ","$6,746 "
97,Utah,2005-06,"$2,700 ","$4,489 "
98,Virginia,2005-06,"$2,745 ","$7,545 "
99,Vermont,2005-06,"$6,251 ","$11,585 "
100,Washington,2005-06,"$3,298 ","$6,579 "
101,Wisconsin,2005-06,"$3,924 ","$7,048 "
102,West Virginia,2005-06,"$2,633 ","$4,849 "
103,Wyoming,2005-06,"$2,217 ","$4,296 "
104,Alaska,2006-07,,"$5,045 "
105,Alabama,2006-07,"$3,351 ","$5,901 "
106,Arkansas,2006-07,"$2,520 ","$6,392 "
107,Arizona,2006-07,"$1,997 ","$5,622 "
108,California,2006-07,$871 ,"$5,472 "
109,Colorado,2006-07,"$2,858 ","$5,740 "
110,Connecticut,2006-07,"$3,214 ","$8,583 "
111,District of Columbia,2006-07,,"$3,861 "
112,Delaware,2006-07,"$3,437 ","$8,905 "
113,Florida,2006-07,"$2,443 ","$3,988 "
114,Georgia,2006-07,"$2,690 ","$4,702 "
115,Hawaii,2006-07,"$2,083 ","$5,085 "
116,Iowa,2006-07,"$3,852 ","$7,097 "
117,Idaho,2006-07,"$2,380 ","$4,999 "
118,Illinois,2006-07,"$2,768 ","$9,693 "
119,Indiana,2006-07,"$3,467 ","$7,885 "
120,Kansas,2006-07,"$2,270 ","$6,271 "
121,Kentucky,2006-07,"$3,933 ","$6,933 "
122,Louisiana,2006-07,"$2,255 ","$4,535 "
123,Massachusetts,2006-07,"$4,305 ","$9,121 "
124,Maryland,2006-07,"$3,755 ","$8,680 "
125,Maine,2006-07,"$3,520 ","$7,958 "
126,Michigan,2006-07,"$2,684 ","$9,230 "
127,Minnesota,2006-07,"$5,129 ","$9,043 "
128,Missouri,2006-07,"$2,876 ","$7,850 "
129,Mississippi,2006-07,"$2,036 ","$5,353 "
130,Montana,2006-07,"$3,094 ","$6,325 "
131,North Carolina,2006-07,"$1,512 ","$4,892 "
132,North Dakota,2006-07,"$3,974 ","$6,630 "
133,Nebraska,2006-07,"$2,421 ","$6,290 "
134,New Hampshire,2006-07,"$6,296 ","$10,979 "
135,New Jersey,2006-07,"$3,835 ","$11,224 "
136,New Mexico,2006-07,"$1,326 ","$4,879 "
137,Nevada,2006-07,"$2,039 ","$4,384 "
138,New York,2006-07,"$4,162 ","$6,064 "
139,Ohio,2006-07,"$4,132 ","$10,157 "
140,Oklahoma,2006-07,"$2,774 ","$5,331 "
141,Oregon,2006-07,"$3,802 ","$6,707 "
142,Pennsylvania,2006-07,"$3,740 ","$10,887 "
143,Puerto Rico,2006-07,,"$1,709 "
144,Rhode Island,2006-07,"$3,231 ","$8,164 "
145,South Carolina,2006-07,"$3,759 ","$9,518 "
146,South Dakota,2006-07,"$4,149 ","$5,977 "
147,Tennessee,2006-07,"$2,995 ","$5,982 "
148,Texas,2006-07,"$1,937 ","$7,199 "
149,Utah,2006-07,"$2,795 ","$4,590 "
150,Virginia,2006-07,"$2,853 ","$7,886 "
151,Vermont,2006-07,"$6,291 ","$11,768 "
152,Washington,2006-07,"$3,293 ","$6,820 "
153,Wisconsin,2006-07,"$3,783 ","$7,268 "
154,West Virginia,2006-07,"$2,655 ","$5,011 "
155,Wyoming,2006-07,"$2,201 ","$4,228 "
156,Alaska,  2007-08 ,,"$5,200 "
157,Alabama,  2007-08 ,"$3,301 ","$6,163 "
158,Arkansas,  2007-08 ,"$2,513 ","$6,580 "
159,Arizona,  2007-08 ,"$1,981 ","$5,828 "
160,California,  2007-08 ,$744 ,"$5,818 "
161,Colorado,  2007-08 ,"$2,890 ","$6,387 "
162,Connecticut,  2007-08 ,"$3,323 ","$8,901 "
163,District of Columbia,  2007-08 ,,"$4,430 "
164,Delaware,  2007-08 ,"$3,521 ","$9,176 "
165,Florida,  2007-08 ,"$2,387 ","$3,979 "
166,Georgia,  2007-08 ,"$2,491 ","$4,913 "
167,Hawaii,  2007-08 ,"$2,287 ","$5,896 "
168,Iowa,  2007-08 ,"$3,914 ","$7,307 "
169,Idaho,  2007-08 ,"$2,458 ","$5,150 "
170,Illinois,  2007-08 ,"$2,867 ","$10,693 "
171,Indiana,  2007-08 ,"$3,529 ","$8,079 "
172,Kansas,  2007-08 ,"$2,266 ","$6,753 "
173,Kentucky,  2007-08 ,"$4,054 ","$7,379 "
174,Louisiana,  2007-08 ,"$2,250 ","$4,501 "
